option,rate,avg_time
1,0,0.014960000000000001
1,5,0.01506
1,10,0.014280000000000001
1,15,0.01484
1,20,0.01452
1,25,0.01544
1,30,0.0165
1,35,0.01458
1,40,0.01432
1,45,0.014679999999999999
1,50,0.014299999999999998
1,55,0.01578
1,60,0.015479999999999999
1,65,0.02522
1,70,0.014679999999999999
1,75,0.01544
1,80,0.01494
1,85,0.0152
1,90,0.01532
1,95,0.019020000000000002
2,0,0.020020000000000003
2,5,0.01694
2,10,0.01644
2,15,0.01934
2,20,0.01494
2,25,0.01458
2,30,0.01774
2,35,0.02382
2,40,0.016040000000000002
2,45,0.01876
2,50,0.0185
2,55,0.019799999999999998
2,60,0.02332
2,65,0.027039999999999998
2,70,0.04702
2,75,0.08728
2,80,0.10454
2,85,0.16770000000000002
2,90,0.33378
2,95,0.69468
3,0,0.014799999999999999
3,5,0.2319
3,10,0.37914
3,15,0.58682
3,20,0.9026799999999999
3,25,1.19416
3,30,1.5131000000000001
3,35,1.9531399999999999
3,40,2.3464
3,45,2.85224
3,50,2.98542
3,55,4.036440000000001
3,60,4.7951999999999995
3,65,5.9893
3,70,7.9916
3,75,9.76366
3,80,14.0832
3,85,19.5075
3,90,30.7614
3,95,60.87696
4,0,0.01474
4,5,0.015260000000000001
4,10,0.014660000000000001
4,15,0.0142
4,20,0.0155
4,25,0.014360000000000001
4,30,0.03458
4,35,0.016999999999999998
4,40,0.01784
4,45,0.01588
4,50,0.02052
4,55,0.026539999999999998
4,60,0.02732
4,65,0.04234
4,70,0.06556
4,75,0.07418
4,80,0.11761999999999999
4,85,0.22654000000000002
4,90,0.32338
4,95,0.6500600000000001
5,0,0.015040000000000001
5,5,0.24445999999999998
5,10,0.38664
5,15,0.6157600000000001
5,20,0.8796799999999999
5,25,1.14052
5,30,1.36826
5,35,1.8342399999999999
5,40,2.29132
5,45,2.6590800000000003
5,50,3.198
5,55,3.96708
5,60,4.80902
5,65,6.1073
5,70,7.64872
5,75,9.6614
5,80,12.52692
5,85,17.17162
5,90,26.081200000000003
5,95,58.141560000000005
