option,rate,avg_time
1,0,0.03766
1,5,0.03644
1,10,0.0365
1,15,0.03736
1,20,0.03638
1,25,0.0366
1,30,0.03674
1,35,0.03612
1,40,0.0371
1,45,0.03736
1,50,0.053200000000000004
1,55,0.048780000000000004
1,60,0.04858
1,65,0.04046
1,70,0.04698
1,75,0.05514
1,80,0.038
1,85,0.03972
1,90,0.038680000000000006
1,95,0.05702
2,0,0.04088
2,5,0.04318
2,10,0.051160000000000004
2,15,0.061860000000000005
2,20,0.0458
2,25,0.04774
2,30,0.056179999999999994
2,35,0.05414
2,40,0.06256
2,45,0.11717999999999999
2,50,0.0895
2,55,0.08528
2,60,0.10984000000000001
2,65,0.10668
2,70,0.15562
2,75,0.15062
2,80,0.1638
2,85,0.2144
2,90,0.32306
2,95,0.67476
3,0,0.06264
3,5,0.04182
3,10,0.040639999999999996
3,15,0.04274
3,20,0.044879999999999996
3,25,0.04596
3,30,0.05008
3,35,0.05176000000000001
3,40,0.05756
3,45,0.06228
3,50,0.0666
3,55,0.07414000000000001
3,60,0.08142
3,65,0.09434000000000001
3,70,0.12616
3,75,0.12669999999999998
3,80,0.15162
3,85,0.20470000000000002
3,90,0.30518
3,95,0.59202
